country,decade,weather
Hungary,1770.0,0.20092271003573334
Scotland,1520.0,1.264376021461465
Scotland,1530.0,0.037742567804819833
Scotland,1540.0,0.2830692585361489
Scotland,1550.0,0.5283959492674779
Scotland,1560.0,-0.9435641951204964
Scotland,1570.0,0.037742567804819833
Scotland,1580.0,-0.9435641951204964
Scotland,1590.0,-0.4529108136578383
Scotland,1600.0,-1.6795442673144836
Scotland,1610.0,1.264376021461465
Scotland,1620.0,-0.9435641951204964
Scotland,1630.0,-0.4529108136578383
Scotland,1640.0,0.037742567804819833
Scotland,1650.0,-1.4342175765831546
Scotland,1660.0,-0.9435641951204964
Scotland,1670.0,0.773722639998807
Scotland,1680.0,0.2830692585361489
Scotland,1690.0,-0.9435641951204964
Scotland,1700.0,0.773722639998807
Scotland,1710.0,0.2830692585361489
