country,decade,population
Hungary,1600.0,125e4
Hungary,1610.0,1275e3
Hungary,1620.0,13e5
Hungary,1630.0,1325e3
Hungary,1640.0,135e4
Hungary,1650.0,1375e3
Hungary,1660.0,14e5
Hungary,1670.0,1425e3
Hungary,1680.0,145e4
Hungary,1690.0,1475e3
Hungary,1700.0,15e5
Hungary,1710.0,1675e3
Hungary,1720.0,185e4
Hungary,1730.0,2025e3
Hungary,1740.0,22e5
Hungary,1750.0,2375e3
Hungary,1760.0,255e4
Hungary,1770.0,2725e3
Hungary,1780.0,29e5
Hungary,1790.0,3075e3
Hungary,1800.0,325e4
Hungary,1810.0,3625e3
Hungary,1820.0,4e6
Hungary,1830.0,4375e3
Hungary,1840.0,475e4
Hungary,1850.0,5125e3
Hungary,1860.0,55e5
Hungary,1870.0,5875e3
Hungary,1880.0,625e4
Hungary,1890.0,6625e3
Hungary,1900.0,7e6
Ireland,1300.0,668e3
Ireland,1310.0,651300.0
Ireland,1320.0,634600.0
Ireland,1330.0,617900.0
Ireland,1340.0,601200.0
Ireland,1350.0,584500.0
Ireland,1360.0,567800.0
Ireland,1370.0,551100.0
Ireland,1380.0,534400.0
Ireland,1390.0,517700.0
Ireland,1400.0,501e3
Ireland,1410.0,517700.0
Ireland,1420.0,534400.0
Ireland,1430.0,551100.0
Ireland,1440.0,567800.0
Ireland,1450.0,584500.0
Ireland,1460.0,601200.0
Ireland,1470.0,617900.0
Ireland,1480.0,634600.0
Ireland,1490.0,651300.0
Ireland,1500.0,668e3
Ireland,1510.0,705575.0
Ireland,1520.0,743150.0
Ireland,1530.0,780725.0
Ireland,1540.0,818300.0
Ireland,1550.0,855875.0
Ireland,1560.0,893450.0
Ireland,1570.0,931025.0
Ireland,1580.0,968600.0
Ireland,1590.0,1006175.0
Ireland,1600.0,1043750.0
Ireland,1610.0,1148125.0
Ireland,1620.0,1252500.0
Ireland,1630.0,1356875.0
Ireland,1640.0,1461250.0
Ireland,1650.0,1565625.0
Ireland,1660.0,167e4
Ireland,1670.0,1774375.0
Ireland,1680.0,1878750.0
Ireland,1690.0,1983125.0
Ireland,1700.0,2087500.0
Ireland,1710.0,2317125.0
Ireland,1720.0,2546750.0
Ireland,1730.0,2776375.0
Ireland,1740.0,3006e3
Ireland,1750.0,3235625.0
Ireland,1760.0,3465250.0
Ireland,1770.0,3694875.0
Ireland,1780.0,3924500.0
Ireland,1790.0,4154125.0
Ireland,1800.0,4383750.0
Ireland,1810.0,4321125.0
Ireland,1820.0,4258500.0
Ireland,1830.0,4195875.0
Ireland,1840.0,4133250.0
Ireland,1850.0,4070625.0
Ireland,1860.0,4008e3
Ireland,1870.0,3945375.0
Ireland,1880.0,3882750.0
Ireland,1890.0,3820125.0
Ireland,1900.0,3757500.0
Italy,1300.0,1e7
Italy,1310.0,97e5
Italy,1320.0,94e5
Italy,1330.0,91e5
Italy,1340.0,88e5
Italy,1350.0,85e5
Italy,1360.0,82e5
Italy,1370.0,79e5
Italy,1380.0,76e5
Italy,1390.0,73e5
Italy,1400.0,7e6
Italy,1410.0,73e5
Italy,1420.0,76e5
Italy,1430.0,79e5
Italy,1440.0,82e5
Italy,1450.0,85e5
Italy,1460.0,88e5
Italy,1470.0,91e5
Italy,1480.0,94e5
Italy,1490.0,97e5
Italy,1500.0,1e7
Italy,1510.0,102e5
Italy,1520.0,104e5
Italy,1530.0,106e5
Italy,1540.0,108e5
Italy,1550.0,11e6
Italy,1560.0,112e5
Italy,1570.0,114e5
Italy,1580.0,116e5
Italy,1590.0,118e5
Italy,1600.0,12e6
Italy,1610.0,121e5
Italy,1620.0,122e5
Italy,1630.0,123e5
Italy,1640.0,124e5
Italy,1650.0,125e5
Italy,1660.0,126e5
Italy,1670.0,127e5
Italy,1680.0,128e5
Italy,1690.0,129e5
Italy,1700.0,13e6
Italy,1710.0,136e5
Italy,1720.0,142e5
Italy,1730.0,148e5
Italy,1740.0,154e5
Italy,1750.0,16e6
Italy,1760.0,166e5
Italy,1770.0,172e5
Italy,1780.0,178e5
Italy,1790.0,184e5
Italy,1800.0,19e6
Italy,1810.0,205e5
Italy,1820.0,22e6
Italy,1830.0,235e5
Italy,1840.0,25e6
Italy,1850.0,265e5
Italy,1860.0,28e6
Italy,1870.0,295e5
Italy,1880.0,31e6
Italy,1890.0,325e5
Italy,1900.0,34e6
Luxembourg,1300.0,97500.0
Luxembourg,1310.0,93990.0
Luxembourg,1320.0,90480.0
Luxembourg,1330.0,86970.0
Luxembourg,1340.0,83460.0
Luxembourg,1350.0,79950.0
Luxembourg,1360.0,76440.0
Luxembourg,1370.0,72930.0
Luxembourg,1380.0,69420.0
Luxembourg,1390.0,65910.0
Luxembourg,1400.0,62400.0
Luxembourg,1410.0,65910.0
Luxembourg,1420.0,69420.0
Luxembourg,1430.0,72930.0
Luxembourg,1440.0,76440.0
