country,decade,century,trials,battles,population,trials.mil,battles.mil,ln.trials,ln.trials.mil,ln1p.trials,ln1p.trials.mil,battles.tp1,battles.tp2,battles.tp3,battles.mil.tp1,battles.mil.tp2,battles.mil.tp3,weather,urbanization,real.wage,taxes.percap,temperature
Austria,1710.0,1700.0,0.0,0.0,255e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,5.9435533082,15.57090372,NA
Austria,1720.0,1700.0,0.0,0.0,26e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,7.2633042851,15.57090372,NA
Austria,1730.0,1700.0,0.0,0.0,265e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,7.381892619,15.57090372,NA
Austria,1740.0,1700.0,0.0,0.0,27e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,6.405407602,15.57090372,NA
Austria,1750.0,1700.0,0.0,0.0,275e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,6.2120277707,23.04071686,NA
Austria,1760.0,1700.0,0.0,0.0,28e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,5.7241177526,23.04071686,NA
Austria,1770.0,1700.0,0.0,0.0,285e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,5.4534934186,23.04071686,NA
Austria,1780.0,1700.0,0.0,0.0,29e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,5.2230736747,42.95481074,NA
Austria,1790.0,1700.0,0.0,0.0,295e4,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,6.8,5.6472564505000005,42.95481074,NA
Austria,1800.0,1800.0,0.0,0.0,3e6,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,11.6,4.285773497,NA,NA
Austria,1810.0,1800.0,0.0,0.0,33e5,0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,11.6,NA,NA,NA
