decade,country,temperature,avg.temp,sd.temp,zscore.temp
1620.0,Greece,13.63,13.4682,0.12946838671233513,1.2497259300797772
1630.0,Greece,13.281,13.4682,0.12946838671233513,-1.4459128189797965
1640.0,Greece,13.375,13.4682,0.12946838671233513,-0.7198668521843863
1650.0,Greece,13.434,13.4682,0.12946838671233513,-0.2641571496213123
1660.0,Greece,13.582,13.4682,0.12946838671233513,0.8789790534182884
1670.0,Greece,13.691,13.4682,0.12946838671233513,1.7208834191704183
1680.0,Greece,13.083,13.4682,0.12946838671233513,-2.9752436852084396
1690.0,Greece,13.538,13.4682,0.12946838671233513,0.5391277498119202
1500.0,Hungary,9.794,9.67205,0.198288326752524,0.6150135108669361
1510.0,Hungary,9.587,9.67205,0.198288326752524,-0.42892086182233186
1520.0,Hungary,9.903,9.67205,0.198288326752524,1.1647180839255342
1530.0,Hungary,10.052,9.67205,0.198288326752524,1.9161491058129712
1540.0,Hungary,9.873,9.67205,0.198288326752524,1.013423247303896
1550.0,Hungary,9.886,9.67205,0.198288326752524,1.0789843431732695
1560.0,Hungary,9.542,9.67205,0.198288326752524,-0.6558631167547803
1570.0,Hungary,9.55,9.67205,0.198288326752524,-0.615517826989007
1580.0,Hungary,9.696,9.67205,0.198288326752524,0.12078371123626616
1590.0,Hungary,9.466,9.67205,0.198288326752524,-1.039143369529585
1600.0,Hungary,9.624,9.67205,0.198288326752524,-0.24232389665564769
1610.0,Hungary,9.819,9.67205,0.198288326752524,0.741092541384965
1620.0,Hungary,9.76,9.67205,0.198288326752524,0.4435460293624158
1630.0,Hungary,9.654,9.67205,0.198288326752524,-0.09102906003401841
1640.0,Hungary,9.576,9.67205,0.198288326752524,-0.4843956352502599
1650.0,Hungary,9.627,9.67205,0.198288326752524,-0.22719441299348386
1660.0,Hungary,9.746,9.67205,0.198288326752524,0.3729417722723239
1670.0,Hungary,9.705,9.67205,0.198288326752524,0.16617216222275763
1680.0,Hungary,9.403,9.67205,0.198288326752524,-1.3568625264350076
1690.0,Hungary,9.178,9.67205,0.198288326752524,-2.4915738010972497
1500.0,Iceland,1.577,1.51455,0.09475312798614037,0.6590811440983195
1510.0,Iceland,1.519,1.51455,0.09475312798614037,0.04696414877882183
1520.0,Iceland,1.502,1.51455,0.09475312798614037,-0.13244945329758148
1530.0,Iceland,1.527,1.51455,0.09475312798614037,0.13139407916771806
1540.0,Iceland,1.444,1.51455,0.09475312798614037,-0.7445664486170792
1550.0,Iceland,1.615,1.51455,0.09475312798614037,1.0601233134455768
1560.0,Iceland,1.552,1.51455,0.09475312798614037,0.39523761163301996
1570.0,Iceland,1.46,1.51455,0.09475312798614037,-0.5757065878392867
1580.0,Iceland,1.501,1.51455,0.09475312798614037,-0.1430031945961947
1590.0,Iceland,1.533,1.51455,0.09475312798614037,0.19471652695939023
1600.0,Iceland,1.496,1.51455,0.09475312798614037,-0.19577190108925366
1610.0,Iceland,1.543,1.51455,0.09475312798614037,0.30025393994551053
1620.0,Iceland,1.391,1.51455,0.09475312798614037,-1.3039147374435156
1630.0,Iceland,1.621,1.51455,0.09475312798614037,1.1234457612372488
1640.0,Iceland,1.56,1.51455,0.09475312798614037,0.4796675420219162
1650.0,Iceland,1.551,1.51455,0.09475312798614037,0.38468387033440676
1660.0,Iceland,1.532,1.51455,0.09475312798614037,0.18416278566077937
1670.0,Iceland,1.378,1.51455,0.09475312798614037,-1.4411133743254732
1680.0,Iceland,1.713,1.51455,0.09475312798614037,2.0943899607095555
1690.0,Iceland,1.276,1.51455,0.09475312798614037,-2.5175949867838976
1500.0,Ireland,9.1,8.921850000000001,0.17545468000837738,1.0153619156325304
1510.0,Ireland,8.839,8.921850000000001,0.17545468000837738,-0.47220171041345105
1520.0,Ireland,9.044,8.921850000000001,0.17545468000837738,0.6961911759445076
1530.0,Ireland,9.175,8.921850000000001,0.17545468000837738,1.4428227277147163
1540.0,Ireland,8.913,8.921850000000001,0.17545468000837738,-0.050440375825701156
1550.0,Ireland,9.088,8.921850000000001,0.17545468000837738,0.946968185699379
1560.0,Ireland,8.894,8.921850000000001,0.17545468000837738,-0.1587304482198541
1570.0,Ireland,8.786,8.921850000000001,0.17545468000837738,-0.7742740176181961
1580.0,Ireland,8.833,8.921850000000001,0.17545468000837738,-0.5063985753800267
1590.0,Ireland,8.855,8.921850000000001,0.17545468000837738,-0.38101007050258595
1600.0,Ireland,8.909,8.921850000000001,0.17545468000837738,-0.0732382858034149
1610.0,Ireland,8.98,8.921850000000001,0.17545468000837738,0.33142461630104714
1620.0,Ireland,8.779,8.921850000000001,0.17545468000837738,-0.8141703600791977
1630.0,Ireland,9.163,8.921850000000001,0.17545468000837738,1.374428997781565
1640.0,Ireland,8.951,8.921850000000001,0.17545468000837738,0.16613976896260474
1650.0,Ireland,8.963,8.921850000000001,0.17545468000837738,0.23453349889574598
1660.0,Ireland,8.916,8.921850000000001,0.17545468000837738,-0.03334194334241332
1670.0,Ireland,8.722,8.921850000000001,0.17545468000837738,-1.1390405772616565
1680.0,Ireland,9.105,8.921850000000001,0.17545468000837738,1.0438593031046801
1690.0,Ireland,8.422,8.921850000000001,0.17545468000837738,-2.8488838255903697
1500.0,Italy,11.337,11.25695,0.14126960972402705,0.5666469961683847
1510.0,Italy,11.18,11.25695,0.14126960972402705,-0.5447031399769803
1520.0,Italy,11.343,11.25695,0.14126960972402705,0.6091189758936868
1530.0,Italy,11.513,11.25695,0.14126960972402705,1.8124917347772023
1540.0,Italy,11.398,11.25695,0.14126960972402705,0.99844545670894
1550.0,Italy,11.439,11.25695,0.14126960972402705,1.2886706514984965
1560.0,Italy,11.198,11.25695,0.14126960972402705,-0.41728720080107373
1570.0,Italy,11.053,11.25695,0.14126960972402705,-1.4436933774958343
1580.0,Italy,11.218,11.25695,0.14126960972402705,-0.27571393505007485
1590.0,Italy,11.099,11.25695,0.14126960972402705,-1.1180748662685345
1600.0,Italy,11.239,11.25695,0.14126960972402705,-0.12706200601151726
1610.0,Italy,11.347,11.25695,0.14126960972402705,0.6374336290438841
1620.0,Italy,11.276,11.25695,0.14126960972402705,0.13484853562782936
1630.0,Italy,11.279,11.25695,0.14126960972402705,0.15608452549048046
1640.0,Italy,11.154,11.25695,0.14126960972402705,-0.7287483854532812
1650.0,Italy,11.254,11.25695,0.14126960972402705,-0.020882056698274407
1660.0,Italy,11.405,11.25695,0.14126960972402705,1.0479960997217883
1670.0,Italy,11.326,11.25695,0.14126960972402705,0.48878170000533905
1680.0,Italy,11.161,11.25695,0.14126960972402705,-0.679197742440433
1690.0,Italy,10.92,11.25695,0.14126960972402705,-2.385155594740003
1500.0,Latvia,5.171,5.0126,0.30291016559543293,0.5229273163831665
1510.0,Latvia,4.963,5.0126,0.30291016559543293,-0.16374491725129378
1520.0,Latvia,5.519,5.0126,0.30291016559543293,1.671782784194666
1530.0,Latvia,5.425,5.0126,0.30291016559543293,1.361459755532938
1540.0,Latvia,5.042,5.0126,0.30291016559543293,0.09705847917717801
1550.0,Latvia,5.272,5.0126,0.30291016559543293,0.8563595067537454
1560.0,Latvia,4.841,5.0126,0.30291016559543293,-0.5665045927484285
1570.0,Latvia,5.122,5.0126,0.30291016559543293,0.3611631844212012
1580.0,Latvia,5.19,5.0126,0.30291016559543293,0.5856521838786224
1590.0,Latvia,4.942,5.0126,0.30291016559543293,-0.2330724023778495
1600.0,Latvia,4.885,5.0126,0.30291016559543293,-0.4212470048642171
1610.0,Latvia,5.192,5.0126,0.30291016559543293,0.5922548015097222
1620.0,Latvia,4.902,5.0126,0.30291016559543293,-0.36512475499986113
1630.0,Latvia,5.173,5.0126,0.30291016559543293,0.5295299340142664
1640.0,Latvia,5.076,5.0126,0.30291016559543293,0.20930297890588714
1650.0,Latvia,4.964,5.0126,0.30291016559543293,-0.1604436084357424
1660.0,Latvia,4.83,5.0126,0.30291016559543293,-0.602818989719482
1670.0,Latvia,4.566,5.0126,0.30291016559543293,-1.4743645170247586
1680.0,Latvia,5.067,5.0126,0.30291016559543293,0.17959119956593636
1690.0,Latvia,4.11,5.0126,0.30291016559543293,-2.9797613369156877
1500.0,Lithuania,5.891,5.7263,0.29390010834331204,0.5603944854882792
1510.0,Lithuania,5.664,5.7263,0.29390010834331204,-0.21197678473539822
1520.0,Lithuania,6.222,5.7263,0.29390010834331204,1.6866274830391037
1530.0,Lithuania,6.158,5.7263,0.29390010834331204,1.4688664200685515
1540.0,Lithuania,5.778,5.7263,0.29390010834331204,0.17591010868089696
1550.0,Lithuania,5.979,5.7263,0.29390010834331204,0.8598159470727883
1560.0,Lithuania,5.547,5.7263,0.29390010834331204,-0.6100712279784384
1570.0,Lithuania,5.811,5.7263,0.29390010834331204,0.288193156775089
1580.0,Lithuania,5.88,5.7263,0.29390010834331204,0.5229668027902151
1590.0,Lithuania,5.635,5.7263,0.29390010834331204,-0.31064976639392927
1600.0,Lithuania,5.611,5.7263,0.29390010834331204,-0.3923101650078863
1610.0,Lithuania,5.903,5.7263,0.29390010834331204,0.6012246847952561
1620.0,Lithuania,5.643,5.7263,0.29390010834331204,-0.28342963352261025
1630.0,Lithuania,5.877,5.7263,0.29390010834331204,0.5127592529634701
1640.0,Lithuania,5.772,5.7263,0.29390010834331204,0.15549500902740998
1650.0,Lithuania,5.673,5.7263,0.29390010834331204,-0.1813541352551632
1660.0,Lithuania,5.56,5.7263,0.29390010834331204,-0.5658385120625453
1670.0,Lithuania,5.316,5.7263,0.29390010834331204,-1.3960525646377737
1680.0,Lithuania,5.754,5.7263,0.29390010834331204,0.09424971006693993
1690.0,Lithuania,4.852,5.7263,0.29390010834331204,-2.9748202711742735
1500.0,Luxembourg,8.907,8.6169,0.2797786531114234,1.0368911165086878
1510.0,Luxembourg,8.45,8.6169,0.2797786531114234,-0.5965430104974134
1520.0,Luxembourg,8.891,8.6169,0.2797786531114234,0.9797030507929382
1530.0,Luxembourg,9.128,8.6169,0.2797786531114234,1.8268012742074797
1540.0,Luxembourg,8.717,8.6169,0.2797786531114234,0.35778283613416284
1550.0,Luxembourg,8.922,8.6169,0.2797786531114234,1.0905049281172052
1560.0,Luxembourg,8.491,8.6169,0.2797786531114234,-0.4499985921008037
1570.0,Luxembourg,8.384,8.6169,0.2797786531114234,-0.8324437815748769
1580.0,Luxembourg,8.505,8.6169,0.2797786531114234,-0.39995903459951876
1590.0,Luxembourg,8.402,8.6169,0.2797786531114234,-0.7681072076446624
1600.0,Luxembourg,8.561,8.6169,0.2797786531114234,-0.19980080459439808
1610.0,Luxembourg,8.768,8.6169,0.2797786531114234,0.5400697956031153
1620.0,Luxembourg,8.508,8.6169,0.2797786531114234,-0.38923627227782165
1630.0,Luxembourg,8.864,8.6169,0.2797786531114234,0.8831981898976133
1640.0,Luxembourg,8.589,8.6169,0.2797786531114234,-0.09972168959183457
1650.0,Luxembourg,8.629,8.6169,0.2797786531114234,0.04324847469753645
1660.0,Luxembourg,8.672,8.6169,0.2797786531114234,0.19694140130861726
1670.0,Luxembourg,8.477,8.6169,0.2797786531114234,-0.5000381496020823
1680.0,Luxembourg,8.681,8.6169,0.2797786531114234,0.2291096882737213
1690.0,Luxembourg,7.792,8.6169,0.2797786531114234,-2.948402213057615
1500.0,Macedonia,9.218,9.23485,0.13633714982004225,-0.12359067225800825
1510.0,Macedonia,9.233,9.23485,0.13633714982004225,-0.013569302295384217
1520.0,Macedonia,9.31,9.23485,0.13633714982004225,0.5512070635127307
1530.0,Macedonia,9.379,9.23485,0.13633714982004225,1.0573053653407753
1540.0,Macedonia,9.39,9.23485,0.13633714982004225,1.1379877033133705
1550.0,Macedonia,9.311,9.23485,0.13633714982004225,0.5585418215102347
1560.0,Macedonia,9.163,9.23485,0.13633714982004225,-0.5270023621209456
1570.0,Macedonia,9.167,9.23485,0.13633714982004225,-0.4976633301309169
1580.0,Macedonia,9.306,9.23485,0.13633714982004225,0.521868031522689
1590.0,Macedonia,9.099,9.23485,0.13633714982004225,-0.9964268739614575
1600.0,Macedonia,9.239,9.23485,0.13633714982004225,0.030439245689665394
1610.0,Macedonia,9.316,9.23485,0.13633714982004225,0.5952156114977804
1620.0,Macedonia,9.4,9.23485,0.13633714982004225,1.211335283288449
1630.0,Macedonia,9.061,9.23485,0.13633714982004225,-1.275147677866763
1640.0,Macedonia,9.106,9.23485,0.13633714982004225,-0.9450835679789039
1650.0,Macedonia,9.188,9.23485,0.13633714982004225,-0.3436334121832433
1660.0,Macedonia,9.359,9.23485,0.13633714982004225,0.9106102053906185
1670.0,Macedonia,9.415,9.23485,0.13633714982004225,1.3213566532510599
1680.0,Macedonia,8.879,9.23485,0.13633714982004225,-2.61007363341322
1690.0,Macedonia,9.158,9.23485,0.13633714982004225,-0.5636761521084913
1500.0,Montenegro,7.56,7.54215,0.1519845127151551,0.11744617712104129
1510.0,Montenegro,7.506,7.54215,0.1519845127151551,-0.23785318223674143
1520.0,Montenegro,7.644,7.54215,0.1519845127151551,0.6701340694553797
1530.0,Montenegro,7.757,7.54215,0.1519845127151551,1.413630877000375
1540.0,Montenegro,7.731,7.54215,0.1519845127151551,1.2425608150873677
1550.0,Montenegro,7.674,7.54215,0.1519845127151551,0.8675226024319295
1560.0,Montenegro,7.46,7.54215,0.1519845127151551,-0.5405155994674504
1570.0,Montenegro,7.41,7.54215,0.1519845127151551,-0.8694964877616962
1580.0,Montenegro,7.585,7.54215,0.1519845127151551,0.2819366212681671
1590.0,Montenegro,7.363,7.54215,0.1519845127151551,-1.1787385227582865
1600.0,Montenegro,7.531,7.54215,0.1519845127151551,-0.07336273808962142
1610.0,Montenegro,7.649,7.54215,0.1519845127151551,0.7030321582848037
1620.0,Montenegro,7.682,7.54215,0.1519845127151551,0.9201595445590091
1630.0,Montenegro,7.409,7.54215,0.1519845127151551,-0.8760761055275834
1640.0,Montenegro,7.399,7.54215,0.1519845127151551,-0.9418722831864313
1650.0,Montenegro,7.503,7.54215,0.1519845127151551,-0.25759203553439697
1660.0,Montenegro,7.682,7.54215,0.1519845127151551,0.9201595445590091
1670.0,Montenegro,7.731,7.54215,0.1519845127151551,1.2425608150873677
1680.0,Montenegro,7.214,7.54215,0.1519845127151551,-2.159101569875143
1690.0,Montenegro,7.353,7.54215,0.1519845127151551,-1.2445347004171403
1500.0,Netherlands,9.185,8.9049,0.2845406085161429,0.9843937617927389
1510.0,Netherlands,8.754,8.9049,0.2845406085161429,-0.5303285207230412
1520.0,Netherlands,9.225,8.9049,0.2845406085161429,1.1249712358081212
1530.0,Netherlands,9.407,8.9049,0.2845406085161429,1.7645987425781255
1540.0,Netherlands,8.977,8.9049,0.2845406085161429,0.25339089691273453
1550.0,Netherlands,9.195,8.9049,0.2845406085161429,1.0195381302965845
1560.0,Netherlands,8.779,8.9049,0.2845406085161429,-0.4424675994634241
1570.0,Netherlands,8.732,8.9049,0.2845406085161429,-0.6076461314315039
1580.0,Netherlands,8.831,8.9049,0.2845406085161429,-0.2597168832434246
1590.0,Netherlands,8.733,8.9049,0.2845406085161429,-0.604131694581115
1600.0,Netherlands,8.844,8.9049,0.2845406085161429,-0.21402920418842475
1610.0,Netherlands,9.053,8.9049,0.2845406085161429,0.5204880975419685
1620.0,Netherlands,8.779,8.9049,0.2845406085161429,-0.4424675994634241
