event,lon,lat
Confessional battle,-2.15796,51.992265
Confessional battle,-4.078756,50.691741
Confessional battle,-0.643582,52.912524
Confessional battle,4.519757,49.925149
Confessional battle,-4.514386,50.8306929
Confessional battle,-1.505924,53.683298
Confessional battle,-1.6545698,53.7513517
Confessional battle,-1.078599,51.666818
Confessional battle,6.168426,49.357571
Confessional battle,-2.58791,51.454513
Confessional battle,-0.774465,53.400575
Confessional battle,-1.2628913,52.902673
Confessional battle,-1.994828,51.3489069
Confessional battle,-2.034098,51.362539
Confessional battle,-2.238156,51.8642449
Confessional battle,6.361008,49.442631
Confessional battle,-1.62053,51.479233
Confessional battle,-2.2422484,36.7817465
Confessional battle,-0.413978,53.782081
Confessional battle,-1.3231139,51.401409
Confessional battle,-0.018447,53.195482
Confessional battle,-1.0923964,51.26654
Confessional battle,8.6316219,48.1610687
Confessional battle,8.8192095,47.9823316
Confessional battle,-0.973177,51.150719
Confessional battle,-0.555119,50.855171
Confessional battle,-1.677401,54.53683
Confessional battle,-8.2755611,52.1393605
Confessional battle,-2.524102,53.067185
Confessional battle,0.290851,51.287227
Confessional battle,-1.1708223,51.0539153
Confessional battle,-1.637,52.871
Confessional battle,-0.81,53.0765
Confessional battle,-1.067189,53.783524
Confessional battle,-1.0872979,53.9599651
Confessional battle,-2.4282192,53.5768647
Confessional battle,2.125537,50.98707
Confessional battle,8.500691,55.05508
Confessional battle,-1.339775,52.0629009
Confessional battle,11.1337406,54.4600619
Confessional battle,-1.778136,52.134166
Confessional battle,3.7999937,51.2276878
Confessional battle,-3.106849,51.015344
Confessional battle,-4.6750679,50.406021
Confessional battle,7.8421043,47.9990077
Confessional battle,-4.6750679,50.406021
Confessional battle,-2.094278,57.149717
Confessional battle,-3.430838,56.394994
Confessional battle,-2.3889999,57.429806
Confessional battle,-4.464252,51.769203
Confessional battle,11.46493,54.727543
Confessional battle,-1.3231139,51.401409
Confessional battle,13.0756312,51.9964734
Confessional battle,-5.0771018,56.2309517
Confessional battle,0.6200146,41.6175899
Confessional battle,-6.9316371,52.2255552
Confessional battle,-5.094977,56.825724
Confessional battle,14.730747,49.652939
Confessional battle,-2.936639,50.725156
Confessional battle,-3.801675,57.576161
Confessional battle,-1.1397592,52.6368778
Confessional battle,9.828538,49.404531
Confessional battle,3.208099,42.26052
Confessional battle,-0.97832,52.226684
Confessional battle,-0.9885334,52.3954519
Confessional battle,0.183359,53.263271
Confessional battle,-3.003632,51.127889
Confessional battle,-4.8042999,51.801575
Confessional battle,-2.828719,51.038134
Confessional battle,-0.399752,54.283113
Confessional battle,-2.58791,51.454513
Confessional battle,-4.056933,55.979788
Confessional battle,10.4894906,48.8508157
Confessional battle,-2.838524,55.550658
Confessional battle,-2.831632,53.172388
Confessional battle,9.210879,49.1426929
Confessional battle,4.0548869,51.2806907
Confessional battle,-3.259773,54.990246
Confessional battle,-2.9206818,56.7969965
Confessional battle,-3.07456,57.199078
Confessional battle,-7.8471707,51.9542704
Confessional battle,-4.135998,50.9546459
Confessional battle,-1.726444,51.931364
Confessional battle,-4.224721,57.477773
Confessional battle,-6.74394,54.41178
Confessional battle,10.901604,42.353631
Confessional battle,0.6200146,41.6175899
Confessional battle,11.2124083,42.4396474
Confessional battle,2.3767763,51.0343684
Confessional battle,10.3947803,42.7632329
Confessional battle,13.0404029,50.9090361
Confessional battle,-8.8111283,52.698874000000004
Confessional battle,-5.024055,54.903367
Confessional battle,9.1702772,47.7661746
Confessional battle,0.6200146,41.6175899
Confessional battle,-6.7325147,53.4813655
Confessional battle,-8.8663731,51.6880388
Confessional battle,-8.8041682,52.2600757
Confessional battle,-4.908637,51.674043
Confessional battle,10.9208893,48.6901541
Confessional battle,-3.17909,51.481581
Confessional battle,10.5995405,48.3982617
Confessional battle,0.891874,51.895927
Confessional battle,0.522699,51.270363
Confessional battle,-4.3777549,55.515888
Confessional battle,14.4378005,50.0755381
Confessional battle,10.0226511,45.133249
Confessional battle,2.83183,50.42893
Confessional battle,-2.70309,53.763201
Confessional battle,11.4339022,48.2629984
Confessional battle,-3.12838,57.443623
Confessional battle,-6.2603097,53.3498053
Confessional battle,-6.3560985,53.717856
Confessional battle,-6.4633381,52.336916
Confessional battle,-7.129167,52.256667
Confessional battle,-7.3085748,54.9966124
Confessional battle,-4.410573,57.918107
Confessional battle,-7.6902551,52.3558172
Confessional battle,-8.9588478,51.9048039
Confessional battle,-8.110546,54.6541972
Confessional battle,-3.053918,55.941941
Confessional battle,-6.652792,54.3502798
Confessional battle,-2.516737,56.002087
Confessional battle,-4.053679,55.777633
Confessional battle,-8.6304975,52.6680204
Confessional battle,-3.398795,56.030043
Confessional battle,-3.226867,56.62578
Confessional battle,-2.970721,56.462018
Confessional battle,-2.6325074,53.5450645
Confessional battle,-2.221575,52.193636
Confessional battle,-9.0567905,53.270668
Confessional battle,-4.800261,57.070951
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,8.064597769473684,47.521540993421056
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.404500560144928,47.37888557347826
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,9.487358132040816,47.37360008469388
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,6.157632756034483,46.26988089034483
Witchcraft trial,9.183962296122449,46.35424314285714
Witchcraft trial,9.183962296122449,46.35424314285714
Witchcraft trial,9.183962296122449,46.35424314285714
Witchcraft trial,9.183962296122449,46.35424314285714
Witchcraft trial,9.183962296122449,46.35424314285714
Witchcraft trial,9.811783242375,46.477424955375
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,9.816039939078948,46.865087157763156
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,9.811783242375,46.477424955375
Witchcraft trial,9.816039939078948,46.865087157763156
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,10.068027420263158,46.353999790526316
Witchcraft trial,9.816039939078948,46.865087157763156
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,9.816039939078948,46.865087157763156
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,9.028884225,46.696572233780486
Witchcraft trial,9.403390169090908,46.582962729772724
Witchcraft trial,9.816039939078948,46.865087157763156
Witchcraft trial,9.631145366976744,46.804258834651165
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,7.985982121777778,47.142731222222224
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.125839074333333,47.160199357
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.38748330516129,46.9228954316129
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,8.307498550428571,46.854730661
Witchcraft trial,9.167037431355933,47.30453122644068
Witchcraft trial,9.167037431355933,47.30453122644068
