country,decade,real.wage
Netherlands,1540.0,9.240122412
Netherlands,1550.0,7.8349195132
Netherlands,1560.0,7.6043501631
Netherlands,1570.0,6.4373539074999995
Netherlands,1580.0,8.7372702126
Netherlands,1590.0,9.408673922
Netherlands,1600.0,10.296666348
Netherlands,1610.0,10.2539264996
Netherlands,1620.0,9.6197464975
Netherlands,1630.0,8.8778091457
Netherlands,1640.0,9.0137074868
Netherlands,1650.0,9.158265542
Netherlands,1660.0,9.6331093765
Netherlands,1670.0,10.132108414
Netherlands,1680.0,11.2083196815
Netherlands,1690.0,9.4178873365
Netherlands,1700.0,10.1460625884
Netherlands,1710.0,9.3258996039
Netherlands,1720.0,10.1907829982
Netherlands,1730.0,11.14833605
Netherlands,1740.0,9.5589577039999991
Netherlands,1750.0,9.9895905237
Netherlands,1760.0,9.750068281099999
Netherlands,1770.0,8.7858746919
Netherlands,1780.0,8.7439333593
Netherlands,1790.0,8.1804504525
Netherlands,1800.0,7.5308601095
Netherlands,1810.0,6.9599679662
Netherlands,1820.0,8.2230471726
Netherlands,1830.0,7.559506839
Netherlands,1840.0,6.8888725074
Netherlands,1850.0,6.5281256924
Netherlands,1860.0,6.0778406684
Netherlands,1870.0,7.0666105925
Netherlands,1880.0,9.3524024212
Netherlands,1890.0,12.0645446055
Netherlands,1900.0,14.019392966
Netherlands,1910.0,15.86840879
Poland,1260.0,NA
Poland,1270.0,NA
Poland,1280.0,NA
Poland,1290.0,NA
Poland,1300.0,NA
Poland,1310.0,NA
Poland,1320.0,NA
Poland,1330.0,NA
Poland,1340.0,NA
Poland,1350.0,NA
Poland,1360.0,NA
Poland,1370.0,NA
Poland,1380.0,NA
Poland,1390.0,NA
Poland,1400.0,11.19321333
Poland,1410.0,11.0793461605
Poland,1420.0,10.2814299825
Poland,1430.0,9.6978060574
Poland,1440.0,9.099441652
Poland,1450.0,9.0515756041
Poland,1460.0,9.086418697
Poland,1470.0,9.1305432645
Poland,1480.0,9.6532003838
Poland,1490.0,9.2638581113
Poland,1500.0,9.746954927
Poland,1510.0,10.490355865
Poland,1520.0,9.8999869906
Poland,1530.0,8.8434766866
Poland,1540.0,7.88281406055
Poland,1550.0,6.922761607181818
Poland,1560.0,7.7833930608
Poland,1570.0,9.204866414733333
Poland,1580.0,9.1540126613
Poland,1590.0,8.602829082566666
Poland,1600.0,7.372616305933334
Poland,1610.0,7.2718452787666665
Poland,1620.0,6.768616980166667
Poland,1630.0,7.6996059254
Poland,1640.0,7.978884458233333
Poland,1650.0,8.097945928933333
Poland,1660.0,6.9626042028
Poland,1670.0,8.0753056013
Poland,1680.0,9.0995664332
Poland,1690.0,8.107887235266666
Poland,1700.0,8.628079957066667
Poland,1710.0,7.3805294759
Poland,1720.0,8.7801422814
Poland,1730.0,8.490732362433333
Poland,1740.0,7.813897435266666
Poland,1750.0,8.201896118266667
Poland,1760.0,7.423821178466667
Poland,1770.0,7.0449030803333335
Poland,1780.0,7.0275655908
Poland,1790.0,6.503330119739131
Poland,1800.0,4.84141583
Poland,1810.0,7.941707182625
Poland,1820.0,10.4043634489
Poland,1830.0,10.57907429285
Poland,1840.0,11.0479820547
Poland,1850.0,11.96991029985
Poland,1860.0,12.137920317
Poland,1870.0,11.37687737355
Poland,1880.0,12.01499916825
Poland,1890.0,14.2125800575
Poland,1900.0,13.26673412015
Poland,1910.0,17.990356298000002
Spain,1260.0,NA
Spain,1270.0,NA
Spain,1280.0,NA
Spain,1290.0,NA
Spain,1300.0,NA
Spain,1310.0,NA
Spain,1320.0,NA
Spain,1330.0,NA
Spain,1340.0,NA
Spain,1350.0,NA
Spain,1360.0,NA
Spain,1370.0,NA
Spain,1380.0,NA
Spain,1390.0,NA
Spain,1400.0,NA
Spain,1410.0,10.219453549285715
Spain,1420.0,9.8718674807
Spain,1430.0,9.2235648446
Spain,1440.0,9.4853722565
Spain,1450.0,10.0387416045
Spain,1460.0,9.9274954327
Spain,1470.0,9.518118788999999
Spain,1480.0,9.1597036725
Spain,1490.0,10.0687493957
