year,Antwerp,Amsterdam,London,Oxford,Paris,Strasbourg,Florence,Milan,Naples,Valencia,Madrid,Augsburg,Leipzig,Munich,Vienna,Gdansk,Krakow,Warsaw,Lwow,Hamburg
1392,,,12.70965809,9.532243567,,,8.260823075,,,,,,,,,,,,,
1393,,,12.20456548,9.153424113,,,9.228182879,,,,,,,,,,,,,
1394,,,12.80692816,9.605196117,,,12.77579758,,,,,,,,,,,,,
1395,,,11.81493851,8.861203884,,9.185504773,10.14503041,,,,,,,,,,,,,
1396,,,10.89720621,8.17290466,,9.300574766,9.95446594,,,,,,,,,,,,,
1397,,,11.14011305,8.355084788,,9.477773656,7.869414632,,,,,,,,,,,,,
1398,,,11.53235183,8.649263874,,9.480483466,9.064708047,,,,,,,,,,,,,
1399,13.53095511,,11.52201393,8.641510444,,9.67891985,8.57008143,,,,,,,,,,,,,
1400,13.52919133,,10.13322032,7.599915244,,9.492924418,11.57998169,,,,,,,,,,,,,
1401,13.74035713,,10.36329364,7.772470234,,9.49599398,9.642951531,,,,,,,,,,,,,
1402,14.28183497,,10.70868345,8.031512588,,9.953488616,9.886487462,,,,,,,,,,,,,
1403,14.38292922,,13.19704068,9.897780511,,9.721775075,11.06934559,,,,,,,,,,,,,
1404,14.80847099,,13.10140565,9.826054238,,9.507483481,11.27875745,,,,,,,,,,,,,
1405,16.56160942,,13.89615672,10.42211754,,9.966112595,9.56559269,,,,,,,,,,,,,
1406,15.66594536,,12.92806413,9.6960481,,10.07462608,9.886487462,,,,,,,,,,,,,
1407,15.20418965,,12.5400865,9.405064875,,10.20312526,10.69254485,,,,,,,,,,,,,
1408,13.87333794,,10.84821303,8.136159774,,9.984368127,8.542204467,,,,,,,,,,,,,
1409,13.86794789,,10.50439743,7.878298071,,10.13596172,8.697986288,,,,,,,,,,11.19321333,,,
1410,14.2531861,,12.37201812,9.279013592,,10.26084364,9.990027135,,,,,,,,,,11.32946071,,,
1411,13.82086005,,12.77957633,9.584682246,,10.35231208,8.982487081,,,,,,,,,,9.712078775,,,
1412,11.03395964,,11.79952484,8.849643633,,10.35359434,11.08621431,,,,,,,,,,10.52462213,,,
1413,10.89235429,,12.99026515,9.742698864,,10.33125875,14.49892755,,,8.728236876,,,,,,,11.29485094,,,
1414,10.67999175,,12.88492071,9.663690534,,10.31592929,11.67019289,,,9.954658689,,,,,,,11.07709492,,,
1415,10.33697336,,12.05774269,9.043307016,,10.17788054,10.71656993,,,10.31325343,,,,,,,11.29787725,,,
1416,10.2521893,,11.39665643,8.54749232,,10.24642866,8.131734957,,,10.42304797,,,,,,,11.29787725,,,
1417,11.6855017,,12.93664751,9.70248563,,9.62392892,9.016448844,,,10.97813945,,,,,,,11.29787725,,,
1418,11.74115582,,12.428362,9.321271497,,10.41731964,10.81826809,,,10.59314639,,,,,,,11.29219681,,,
1419,12.57240262,,13.48321385,10.11241039,,10.74764943,9.140583221,,,10.54569204,,,,,,,11.66952557,,,
1420,11.90224621,,13.1370395,9.852779629,,10.46029406,6.631824051,,,10.09597462,,,,,,,10.62076158,,,
1421,11.68496654,,13.33867395,10.00400546,,9.000113666,8.120923886,,,9.312056329,,,,,,,10.26410031,,,
1422,11.56583049,,13.66161717,10.24621288,,9.169145935,12.1329235,,,9.582115967,,,,,,,10.26733418,,,
