Czechoslovakia,Praha,NA,NA,10,10,30,95,70,100,48,59,76,118
Czechoslovakia,Prostejov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
Czechoslovakia,Skalica,NA,NA,NA,NA,NA,NA,NA,5,4,4,6,6
Czechoslovakia,Sternberk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
Czechoslovakia,Trnava,NA,NA,NA,NA,3,3,NA,NA,4,6,6,8
Czechoslovakia,Vratz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
Czechoslovakia,Znojmo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
Denmark,Aalborg,NA,NA,NA,NA,NA,NA,NA,6,4,4,6,8
Denmark,Aarhus,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,8
Denmark,Helsingor,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,8
Denmark,Kobenhavn,NA,NA,NA,NA,3,9,10,40,65,80,101,130
Denmark,Odense,NA,NA,NA,NA,NA,NA,NA,5,4,5,6,11
Denmark,Randers,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,7
Denmark,Ribe,NA,NA,NA,NA,NA,NA,3,5,2,2,2,3
Denmark,Roskilde,NA,NA,NA,NA,NA,NA,NA,8,2,2,2,4
Denmark,Svendborg,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5
Denmark,Viborg,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4
Finland,Haemeenlinna,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3
Finland,Helsinki,NA,NA,NA,NA,NA,NA,NA,1,1,2,4,21
Finland,Kuopio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
Finland,Oulu,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,6
Finland,Pori,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,6
Finland,Tampere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
Finland,Turku,NA,NA,NA,NA,NA,1,2,4,5,6,11,17
Finland,Vaasa,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4
France,Abbeville,NA,NA,NA,NA,NA,NA,NA,NA,15,17,18,19
France,Agde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,9
France,Agen,NA,NA,NA,NA,6,NA,NA,NA,10,10,10,16
